RetailerGroupID,RetailerGroupName,RetailerGroupEnabled,RetailerGroupGUID,RetailerGroupLastModified,RetailerGroupLogoImage,RetailerGroupDisplayName,RetailerGroupHideInSelector,RetailerGroupSelectorPriceUrl
15,Sleepys,True,584269a8-4ffb-4795-a53a-1f81d9938699,12/19/2015 2:51:55 AM,~/Sleepmaker/media/Retailers/sleepys.gif?width=560&height=350&ext=.gif,Sleepy's,False,http://www.sleepys.com.au/our-mattresses
18,Sleepzone,True,83e621fb-9ffa-48a9-a885-398e31d55015,11/11/2014 11:32:59 AM,~/Sleepmaker/media/Retailers/bedsrusAU.gif?width=560&height=350&ext=.gif,Sleepzone,False,
2,Smiths,True,42c0dd00-df0f-46f8-9d0d-648f8467cf39,3/21/2016 3:14:02 AM,https://www.sleepyhead.co.nz/Sleepyhead/media/Brands/logos-white/Smith-City-New-Logowhite_560x350.jpg?width=560&height=350&ext=.jpg,Smiths City,False,
16,Snooze,False,f7803994-077c-44db-bd85-9c65f226fb6d,2/26/2015 1:38:02 AM,~/Sleepmaker/media/Retailers/snooze.gif?width=560&height=350&ext=.gif,Snooze,False,
24,Target,True,6c08a626-35a2-4037-89af-8dc58b585fb0,7/27/2015 1:13:58 AM,~/getmedia/34df3312-e229-4030-a0b2-7425ba67043b/TargetFurniture.png.aspx?width=560&height=350&ext=.png,Target,False,
28,test,False,63cc147b-ac23-4272-9f41-cfa49d17398b,8/20/2015 8:56:51 AM,~/getmedia/9678958b-76dd-4a37-b4d7-c042b97141b2/freedom-bedroom.gif.aspx?width=560&height=350&ext=.gif,test,False,
29,Test,False,f10626f2-8f12-4789-83ab-26305fbc85c9,8/20/2015 9:01:23 AM,https://www.sleepmaker.com.au/getmedia/ac5ad749-ab2d-4cc0-9a63-cc03209a0796/amart.gif.aspx?width=560&height=350&ext=.gif,TEST,False,
30,test,False,05589408-f6da-4ac9-8d7f-061e7a0de392,8/21/2015 2:02:10 AM,~/getmedia/573420c6-1c33-4350-9294-881a693c7d60/Bedpost.png.aspx?width=560&height=350&ext=.png,test,False,
31,test,False,fdbe5eb1-3f78-4fc0-8068-9c132ff723f1,8/21/2015 2:04:09 AM,~/getmedia/ac5ad749-ab2d-4cc0-9a63-cc03209a0796/amart.gif.aspx?width=560&height=350&ext=.gif,test,True,
39,Test,False,cc6e2ac1-4fe3-475c-aac4-6c576355191b,11/14/2016 8:48:03 PM,~/getmedia/7a7132a2-5462-4bb3-9e4e-faa78858525f/BP_Miracoil-Advance_855x685.jpg.aspx?width=855&height=640&ext=.jpg,,False,
37,The Bed People,True,19f90e39-0dec-45dc-8dcb-5d4a1d3e460d,6/24/2016 4:21:57 AM,~/getmedia/b3031fa3-9a17-480a-9441-d9024cf8c961/The-Bedpeople-Logo-560x370.png.aspx?width=560&height=370&ext=.png,The Bed People,False,http://www.thebedpeople.co.nz
